
## МОНТАЖ ВОЗДУХОВОДОВ
ВК01.01	Монтаж круглого воздуховода Ø до 100 мм	пог.м.	330-460
ВК01.02	Монтаж круглого воздуховода Ø 125–160 мм	пог.м.	460-650
ВК01.03	Монтаж круглого воздуховода Ø 200 мм	пог.м.	650-850
ВК01.04	Монтаж круглого воздуховода Ø 250 мм	пог.м.	850-1040
ВК01.05	Монтаж круглого воздуховода Ø 315 мм	пог.м.	1040-1240
ВК01.06	Монтаж круглого воздуховода Ø 355–400 мм	пог.м.	1240-1600
ВК01.07	Монтаж круглого воздуховода Ø 500 мм и более  (Крупный диаметр: промышленные объекты, торговые центры)	пог.м.	1700-2300
ВК01.08	Прокладка гибкого воздуховода Ø до 100 мм	пог.м.	170-230
ВК01.09	Прокладка гибкого воздуховода Ø 125–160 мм	пог.м.	210-290
ВК01.10	Прокладка гибкого воздуховода Ø 200 мм	пог.м.	260-360
ВК01.11	Прокладка гибкого воздуховода Ø 250 мм	пог.м.	340-460
ВК01.12	Прокладка гибкого воздуховода Ø 315–355 мм	пог.м.	460-620
ВК01.13	Монтаж прямоугольного воздуховода периметром до 600 мм (высота до 3 м)	пог.м.	650-850
ВК01.14	Монтаж прямоугольного воздуховода периметром до 600 мм (высота 3–5 м)	пог.м.	850-1040
ВК01.15	Монтаж прямоугольного воздуховода периметром до 600 мм (высота 5–8 м)	пог.м.	1040-1300
ВК01.16	Монтаж прямоугольного воздуховода периметром до 600 мм (высота 8–10 м)	пог.м.	1240-1500
ВК01.17	Монтаж прямоугольного воздуховода периметром 601–1 000 мм	пог.м.	720-980
ВК01.18	Монтаж прямоугольного воздуховода периметром 1 001–1 600 мм	пог.м.	810-1070
ВК01.19	Монтаж прямоугольного воздуховода периметром 1 601–2 400 мм	пог.м.	880-1170
ВК01.20	Монтаж прямоугольного воздуховода периметром 2 401–3 200 мм	пог.м.	940-1240
ВК01.21	Монтаж прямоугольного воздуховода периметром свыше 3 200 мм	пог.м.	1170-1600
ВК01.22	Монтаж фасонных элементов (отводы, тройники, переходы) круглого сечения  (отдельная оплата за каждый фасонный элемент)	шт.	460-780
ВК01.23	Монтаж фасонных элементов (отводы, тройники, переходы) прямоугольного сечения	шт.	650-1170
ВК01.24	Установка вибровставки (гибкой вставки) на воздуховод  (обязательна при подключении к вентилятору — снижает вибрацию)	шт.	780-1170
ВК01.25	Герметизация воздуховода (нанесение герметика, проклейка фланцев)	пог.м.	130-170
ВК01.26	Наценка за монтаж воздуховода на высоте свыше 10 м (без автовышки)  (процентная наценка к базовой стоимости позиции)	пог.м.	0
ВК01.27	Монтаж люка-ревизии на воздуховоде (круглом или прямоугольном)	шт.	520-910
ВК01.28	Демонтаж круглого воздуховода Ø до 160 мм	пог.м.	170-260
ВК01.29	Демонтаж круглого воздуховода Ø 250 мм и более	пог.м.	260-390
ВК01.30	Демонтаж прямоугольного воздуховода любого сечения	пог.м.	330-490

## МОНТАЖ ИЗОЛЯЦИИ ВОЗДУХОВОДОВ
